rown	id	name	doc_topic	pContent	maxProb
11	a11	중국의 ‘일대일로(一帶一路)’ 대응 유라시아 지역 환경전략 연구	3	장 서론 연구 필요 목적 가다 연구 배경 필요 나다 연구 목적 주요 연구 내용 방법 가다 주요 연구 내용 나 선행 연구 차별 연구 방법 2장 중국 전략 아시아 인프라 투자 은행 환경 문제 중국 전략 추진 배경 가다 국제 정세 변화 전략 나 중국 신창 타이 경제 상황 전략 중국 대외 정책 전략 전략 추진 경과 주요 내용 가다 전략 추진 경과 나 일로 전략 주요 내용 전략 6대 경제 회랑 주요 내용 가다 유라시아 대륙 교량 경제 회랑 나 중국 몽골 러시아 경제 회랑 중국 중앙아시아 서아시아 경제 회랑 중국 인도 차이 반 경제 회랑 말다 중국 파키스탄 경제 회랑 바 방글라데시 중국 인도 미얀마 경제 회랑 전략 환경 가다 전략 환경 관련 내용 나 전략 주요 환경 아시아 인프라 투자 은행 환경 가다 아시아 인프라 투자 은행 설립 경과 주요 현황 나 환경 규정 환경 장 6대 경제 회랑 연선 국가 환경 실태 유라시아 대륙 교량 중국 몽골 러시아 경제 회랑 연선 국가 환경 실태 러시아 주요 환경 실태 나 몽골 주요 환경 실태 중국 중앙아시아 서아시아 경제 회랑 연선 국가 환경 실태 카자흐스탄 주요 환경 실태 나 우즈베키스탄 주요 환경 실태 중국 인도 차이나 동남아시아 경제 회랑 연선 국가 환경 실태 베트남 주요 환경 실태 나 라오스 주요 환경 실태 태국 주요 환경 실태 말레이시아 주요 환경 실태 방글라데시 중국 인도 미얀마 경제 회랑 연선 국가 환경 실태 미얀마 주요 환경 실태 나 방글라데시 주요 환경 실태 인도 주요 환경 실태 중국 파키스탄 경제 회랑 연선 국가 파키스탄 환경 실태 4장 중국 전략 대응 유라시아 환경 전략 개발 유라시아 환경 전략 수요 분석 가다 6대 경제 회랑 해양 실크 로드 환경 환경 전략 수요 나 전략 환경 이슈 대하다 관련 국 입장 태도 유라시아 환경 전략 비전 목표 환경 전략 추진 여건 분석 나 유라시아 환경 전략 비전 목표 기본 방향 유라시아 환경 전략 추진 전략 주요 사업 유라시아 이니셔티브 전략 연계 통하다 유라시아 환경 전략 추진 방 가다 유라시아 이니셔티브 전략 연계 방 나다 유라시아 이니셔티브 전략 연계 환경 전략 추진 방 장 요약 결론 참고 문헌 부록 부록 5대 중점 추진 원칙 전략 부록 환경 사회 보호 체계 부록 	0.810725240297139
12	a12	도시의 기후 회복력 확보를 위한 공간단위별 평가체계 및 모형 개발(Ⅱ)	1	장 서론 연구 배경 목적 연구 대상 연구 구조 장 이론 체계 도시 기후 회복력 평가 위하다 이론 체계 도시 기후 회복력 평가 위하다 개념 구성 도시 기후 회복력 평가 방법 도시 기후 회복력 속성 평가 구조 장 도시 기후 회복력 평가 지표 적용 도시 기후 회복력 평가 지표 구성 연구 방법 도시 기후 회복력 지표 측정 결과 장 도시 기후 회복력 평가 지수 적용 다양 사회 역할 다양 생계 다양 고용 다양 취약 계층 경제 통합 토지 이용 다양 임금 장 결 결론 정책 제언 연구 한계 향후 연구 방향 참고 문헌 	0.998420979264275
13	a13	지역기반 환경보건정책 지원 방안 연구(Ⅱ)	1	1장 서다 론 연구 배경 필요 연구 범위 장 국내 지역 사회 환경 보건 문제 현황 진단 국내 지역 환경 보건 이슈 분포 특성 분석 가다 전국 실내 라돈 농도 분포 나 전국 폐암 사망자 분포 전국 광산 분포 전국 자연 발생 석면 석면 건축물 분포 환경 보건 문제 대하다 지자체 대응 현황 역량 분석 가다 서울특별시 나 대전 광역시 충청남도 경기도 국내 지역 사회 환경 보건 문제 대응 문제점 시사점 장 지역 기반 환경 보건 정책 지원 프로그램 관련 사례 분석 지역 환경 보건 실행 계획 위하다 저감 계획 미국 프로그램 따르다 지역 환경 보건 실행 계획 나 유럽 국가 지역 환경 보건 실행 계획 지역 사회 거버넌스 국내 지역 사회 거버넌스 체계 현황 사례 나 국외 지역 사회 거버넌스 사례 지역 사회 환경 보건 서비스 국외 지역 사회 환경 보건 서비스 사례 나 국내 지역 사회 환경 보건 서비스 사례 시사점 가다 지역 환경 보건 실행 계획 위하다 저감 계획 나 지역 사회 거버넌스 구성 역할 운영 방 지역 사회 환경 보건 서비스 장 지역 기반 환경 보건 정책 지원 프로그램 시범 사업 실시 지역 기반 환경 보건 정책 지원 프로그램 시범 사업 지역 선정 지역 기반 환경 보건 정책 지원 프로그램 시범 사업 가다 환경 보건 정책 지원 방안 계획 나 지역 사회 환경 보건 현황 분석 지역 사회 환경 보건 문제 이슈 선정 위하다 저감 계획 실행 말다 이행 과정 사후 모니터링 검토 지역 사회 환경 보건 문제 해결 운영 장 지역 기반 환경 보건 정책 지원 프로그램 국내 적용 방안 제시 시범 적용 통하다 기술 문제점 분석 보완 방 가다 환경 보건 정책 지원 방안 계획 단계 나 환경 보건 현황 분석 단계 환경 보건 문제 순위 선정 단계 위하다 저감 계획 실행 단계 말다 이행 과정 사후 모니터링 단계 지역 기반 환경 보건 정책 지원 위하다 제도 개선 방 가다 환경 보건 법 개정 나 지역 환경 보건 정책 지원 범위 확대 행정 전문 제고 협력 수행 체계 구축 	0.999593564117428
14	a14	신기후체제의 기후변화 적응 및 손실과 피해에 관한 대응방안	3	1장 서다 론 연구 배경 필요 연구 목적 2장 파리 협정 핵심 사항 파리 협정 개요 파리 협정 적응 손실 피해 적응 목표 나 적응 원칙 기후 정의 인식 제고 이해 관계자 참여 과학 지식 전통 지역 지식 활용 적응 주류 국제 협력 개별 노력 칸쿤 적응 체제 파리 협정 적응 관련 국제 협력 파리 협정 적응 관련 개별 노력 적응 정보 보다 논의 적응 정보 보다 지구 점검 말다 손실 피해 일어나다 현상 포괄 위험 평가 관리 기후 보험 경제 손실 피해 바 적응 재정 장 국내외 현황 과제 국내외 적응 정책 현황 방향 가다 국외 적응 정책 현황 방향 나 국내 적응 정책 현황 방향 적응 위하다 기후 변화 과학 지식 가다 기후 변화 위험 평가 나 정보 공유 전통 지식 활용 기후 정의 이해 관계자 참여 기후 정의 관련 현황 나 기후 정의 적응 정책 과제 기후 변화 인식 현황 정책 방향 손실 피해 포괄 기후 변화 위험 관리 보험 나 손실 피해 관련 기초 연구 장 대응 방안 핵심 의제 대응 가다 기후 정의 나 인식 제고 이해 관계자 참여 기후 변화 적응 관련 지식 개발 활용 공유 기후 변화 적응 주류 말다 기후 변화 적응 정책 효과 강화 바 손실 피해 관련 정보 지식 강화 사다 손실 피해 대응 포괄 위험 관리 체계 개발 기후 변화 적응 손실 피해 대응 방안 	0.987263864191917
15	a15	대기환경비용을 고려한 친환경차 구매보조금 실효성 제고 연구 : 차종별 적정 보조금 수준 분석을 중심으로	2	1장 서다 론 연구 필요 목적 연구 범위 방법 선행 연구 차별 장 친환경 차 보급 정책 동향 분석 국내 정책 동향 국외 정책 동향 친환경 차 보급 정책 효과 장 친환경 차 적정 보조금 수준 분석 친환경 차 보급 따르다 환경 비용 절감 효과 친환경 차 보급 정책 대하다 경제 분석 친환경 차 구매 따르다 수익 분석 소결 장 결론 제언 결론 정책 제언 참고 문헌 부 록 부록 주요 선 도국 친환경 차 보급 정책 	0.857038500050038
16	a16	실도로에서 경유차의 대기오염물질 초과 배출에 따른 사회적 비용 연구	2	1장 서다 론 연구 필요 목적 연구 범위 연구 내용 수행 체계 장 경유 차 실 도로 대기 오염 물질 초과 배출 현황 원인 분석 경유 차 배출 허용 기준 강화 배출 가스 저감 기술 경유 차 배출 가스 인증 시험 모드 질소 산화물 배출 량 경유 자동차 실 도로 주행 씨 질소 산화물 과다 배출 사례 경유 자동차 실 도로 주행 씨 질소 산화물 조작 사례 장 경유 차 실 도로 대기 오염 물질 초과 배출 따르다 사회 비용 산정 이론 고찰 대기 오염 물질 초과 배출 따르다 사회 비용 산정 장 대안 제시 실 도로 배출 기준 도입 효과 시다 도로 배출 기준 도입 따르다 편익 산정 장 결론 참고 문헌 	0.853866811196398
17	a17	토양정화 곤란 부지의 최적 관리방안 연구	3	1장 서다 론 연구 배경 목적 연구 접근 방법 장 국내 정화 곤란 부지 주요 사례 시사점 건설 기계 시운전 부지 해군 부지 동하다 부지 서울 동서 터미널 부지 캠프 인접 도로 부지 캠프 인접 도로 부지 캠프 인접 도로 부지 캠프 인접 도로 부지 교각 하부 부지 유류 중대 인근 철도 부지 부산 감천 도로 부지 석유 화학 부지 구내 부지 구내 부지 캠프 건물 부지 석유 화학 공장 부지 국내 정화 곤란 부지 시사점 장 선진 외국 도로 철도 시설 오염 부지 정화 사례 스트링펠로우 유해 폐기물 매립 부지 웨스턴 퍼시픽 철도 회사 부지 트레저 아일랜드 해군기지 헌터스 포인트 트리플 부지 외국 오염 부지 정화 사례 시사점 장 정화 곤란 부지 관리 방안 개선 위하다 방향 개선 토양 환경 보전 법 개정 안 개정 따르다 관련 지침 개정 안 장 요약 결론 참고 문헌 참고 자료 서다 호주 오염 부지 매매 법 제도 관련 서류 	0.999133535241781
18	a18	제3차 국가생물다양성전략 이행상황 점검	2	1장 서다 론 과업 배경 필요 과업 내용 가다 실행 관련 생물 다양 정책 여건 현황 분석 나 중간 점검 틀 지표 개발 3차 중간 평가 수행 지원 국가 생물 다양 전략 이행 상황 안 마련 과업 추진 방법 장 국내외 실행 점검 사례 분석 국제 사회 수립 점검 관련 시사점 가다 수립 점검 관련 의제 분석 나 각국 생물 다양 지표 분석 요국 점검 현황 가다 세계 나 유럽 독일 중국 말다 일본 종합 고찰 가다 국가 이행 상황 점검 결과 종합 나 국내외 이행 점검 시사점 장 점검 지표 방향 설정 국내외 점검 지표 사례 고찰 가다 생물 다양 지표 파트너십 나 유럽 연합 독일 중국 말다 일본 바 우리 나라 국내외 점검 지표 비교 분석 시사점 점검 지표 방향 설정 장 중간 점검 수행 중간 점검 수행 방법 가다 개요 나 부처 자체 점검 전문가 평가 부처 중간 점검 수행 결과 생물 다양 주류 나 생물 다양 보전 강화 생물 다양 위협 요인 저감 생태 서비스 지속 가능 이용 말다 생물 다양 연구 관리 체계 구축 바 생물 다양 국제 협력 강화 중간 점검 결과 종합 가다 달성 분석 나 전략 평가 장 국가 생물 다양 전략 이행 상황 안 마련 중간 점검 종합 평가 부처 추진 협조 사항 이치 타다 달성 점검 향후 추진 방향 가다 홍보물 제작 배포 제출 6차 국가 보고서 반영 4차 반영 관계 부처 법정 계획 점검 결과 반영 참다 물다 	0.500131641110017
19	a19	국가 지속가능성 평가 등에 관한 연구	1	지속 가능 발전 개념 87년 환경 개발 관하다 세계 위원회 발표 보고서 우리 공동 미래 정의 알리다 지다 보고서 보고서 따르다 지속 가능 발전 미래 세대 필요 충족 수 있다 능력 훼손 않다 범위 세대 필요 충족 발전 말 지속 가능 발전 브라질 리우 데 자네 에서 92년 개최 유엔 환경 개발 회의 회의 환경 건전 지속 가능 발전 환경 경제 통합 개념 발전 02년 지속 가능 발전 세계 정상 회의 환경 경제 사회 통합 균형 지향 인류 보편 발전 전략 정착 92년 리우 선언 의제 채택 의제 각국 정부 경제 환경 사회 목적 균형 통합 방식 달성 위하다 국가 지속 가능 발전 전략 채택 하다 명시 있다 97년 개최 유엔 총회 특별 세션 나라 02년 국가 지속 가능 발전 전략 수립 합의 이러하다 배경 유럽 국가 중심 많다 국가 국가 지속 가능 발전 전략 수립 영국 세계 최초 94년 국가 지속 가능 발전 전략 수립 독일 프랑스 02년 03년 수립 01년 차원 지속 가능 발전 전략 수립 현재 대부분 유럽 국가 국가 지속 가능 발전 전략 수립 시행 있다 12년 지속 가능 발전 회의 지나다 20년 간 걸치다 국 지속 가능 발전 노력 점검 결의문 우리 원 미래 통하다 지속 가능 발전 목표 설정 합의 후 3년 걸치다 진행 후속 논의 바탕 15년 9월 70차 유엔 총회 17개 목표 169개 세부 목표 구성 지속 가능 발전 목표 담다 지속 가능 발전 의제 채택 지속 가능 발전 목표 과거 성장 위주 개발 인하다 발생 평등 환경 파괴 등 문제 해결 위하다 목적 가지다 있다 동시 선진국 개발 상국 모두 적용 이해 당사자 협력 통하다 이행 하다 보편 목표 과감하다 혁신 세부 이행 과제 담다 있다 지속 가능 발전 목표 이행 관련 5대 행동 영역 사람 지구 번영 평화 파트너십 제시 되다 빈곤 해소 본질 궁극 지구 과제 지속 가능 발전 위하다 필수 요건 강조 제시 목표 세부 이행 과제 인권 실현 양성 평등 여성 소녀 역량 강화 포함 지속 가능 발전 핵심 축이다 경제 번영 사회 통합 환경 보존 균형 있다 통합 하다 고민 반영 있다 강상인 외 지속 가능 발전 의제 이행 상황 유엔 고위급 정치 포럼 점검 예정 개별 국가 지구 차원 지속 가능 발전 목표 효과 이행 위하다 다양하다 논의 진행 중 있다 	0.999654677673719
20	a20	유네스코 세계지질공원 운영 강화에 따른 국가지질공원제도의 개선방안 연구	2	1장 서다 론 배경 필요 목적 연구 범위 연구 내용 연구 방법 연구 내용 수행 체계 선행 연구 장 국외 지지다 공원 동향 유네스코 아시아 태평양 세계 지지다 공원 망 세계 지지다 공원 인증 인증 강화 관련 대응 방안 인증 인증 자체 평가 표 변화 국외 지지다 공원 주요 활동 시사점 장 국내 지지다 공원 운영 현황 국내 지지다 공원 현황 주요 활동 지지다 공원 제도 문제점 지지다 공원 운영 개선 필요 사항 세계 지지다 공원 추진 씨 고려 사항 4장 지지다 공원 제도 개선 방안 지지다 공원 제도 개선 필요 법규 지지다 공원 인증 항목 개선 방 장 결론 제언 결론 제언 참고 문헌 부록 부록 지지다 공원 인증 세부 기준 일부 개정 안 부록 국제 지구 과학 및다 지다 공원 프로그램 법규 부록 유네스코 세계 지지다 공원 자체 평가 표 인증 시 부록 유네스코 세계 지지다 공원 자체 평가 표 인증 시 일부 부록 평가 임무 인증 임무 보고서 양식 	0.999100254906153
21	a21	시스템과 네트워크 이론을 활용한 미래 환경정책 방향 연구	1	1장 서다 론 연구 필요 목적 시스템 네트워크 언어 장 미래 환경 정책 방향 분석 에너지 활용 규모 축소 화석 연료 경제 발전 나 에너지 고려 에너지 규모 축소 자기 조직 기능 활용 가다 자기 조직 개념 나 되먹임 과정 생태 사회 경제 연계 시스템 차원 가치 평가 통하다 자원 평등 효율 해소 자연 자원 가치 대하다 평가 나 에너지 질 개념 물리학 접근 법 환경 자원 평등 실질 부 실현 말다 자원 효율 분배 위하다 정책 시스템 공간 분산 지역 공간 위계 분포 나 척 없다 네트워크 분산 지역 위하다 과제 지속 가능 환경 관리 위하다 시스템 정보 관리 회복 탄력 제고 정보 관하다 시스템 고찰 나 회복 탄력 개념 네트워크 이론 회복 탄력 	0.843379097961357
22	a22	국가 및 지역 미래성장동력에 대한 환경성 분석 및 환경영향평가 대비방안 연구	1	1장 서다 론 연구 배경 필요 연구 목적 연구 내용 수행 체계 장 국가 지역 미래 성장 동력 현황 미래 성장 동력 현황 장 미래 성장 동력 환경 분석 대비 방안 미래 성장 동력 192개 환경 평가 방안 마련 필요 주요 미래 성장 동력 환경 분석 대비 방 장 미래 성장 동력 지원 촉진 관련 주요 법 제도 환경 분석 대비 방안 규 제프리 존 개발제한구역 조정 위하다 도시 관리 계획 변경 안 수립 지침 도시 지역 개발 보전 관리 지역 경우 계획 개발 전제 도시 계획 위원회 심의 거치다 허용 범위 확대 산지 농지 규제 완화 태양광 산업 활성 위하다 하천 부지 태양광 설비 설치 허용 등 규제 해제 하천 점용 허가제 개선 장 미래 성장 동력 환경영향평가 방안 개발 로드맵 미래 성장 동력 환경영향평가 방안 개발 로드맵 장 결 결론 참고 문헌 부 록 부록 국가 지역 미래 성장 동력 현황 전수 조사 	0.99901720769849
